ID,XMIN,XMAX,YMIN,YMAX,nummer,kt_so
1047,602500.0,611250.0,266000.0,272000.0,1047-3,1
1047,611250.0,620000.0,266000.0,272000.0,1047-4,1
1066,585000.0,593750.0,254000.0,260000.0,1066-3,1
1066,593750.0,602500.0,254000.0,260000.0,1066-4,1
1067,602500.0,611250.0,260000.0,266000.0,1067-1,1
1067,611250.0,620000.0,260000.0,266000.0,1067-2,1
1067,602500.0,611250.0,254000.0,260000.0,1067-3,1
1067,611250.0,620000.0,254000.0,260000.0,1067-4,1
1068,620000.0,628750.0,260000.0,266000.0,1068-1,1
1068,628750.0,637500.0,260000.0,266000.0,1068-2,1
1068,620000.0,628750.0,254000.0,260000.0,1068-3,1
1068,628750.0,637500.0,254000.0,260000.0,1068-4,1
1069,637500.0,646250.0,254000.0,260000.0,1069-3,1
1086,585000.0,593750.0,248000.0,254000.0,1086-1,1
1086,593750.0,602500.0,248000.0,254000.0,1086-2,1
1086,593750.0,602500.0,242000.0,248000.0,1086-4,1
1087,602500.0,611250.0,248000.0,254000.0,1087-1,1
1087,611250.0,620000.0,248000.0,254000.0,1087-2,1
1087,611250.0,620000.0,242000.0,248000.0,1087-4,1
1088,620000.0,628750.0,248000.0,254000.0,1088-1,1
1088,628750.0,637500.0,248000.0,254000.0,1088-2,1
1088,620000.0,628750.0,242000.0,248000.0,1088-3,1
1088,628750.0,637500.0,242000.0,248000.0,1088-4,1
1089,637500.0,646250.0,248000.0,254000.0,1089-1,1
