ID,XMIN,XMAX,YMIN,YMAX,nummer,kt_so
1110,663750.0,672500.0,230000.0,236000.0,1110-4,1
1111,672500.0,681250.0,230000.0,236000.0,1111-3,1
1111,681250.0,690000.0,230000.0,236000.0,1111-4,1
1131,672500.0,681250.0,224000.0,230000.0,1131-1,1
1131,681250.0,690000.0,224000.0,230000.0,1131-2,1
1131,672500.0,681250.0,218000.0,224000.0,1131-3,1
1131,681250.0,690000.0,218000.0,224000.0,1131-4,1
1132,690000.0,698750.0,224000.0,230000.0,1132-1,1
1132,690000.0,698750.0,218000.0,224000.0,1132-3,1
1151,672500.0,681250.0,212000.0,218000.0,1151-1,1
1151,681250.0,690000.0,212000.0,218000.0,1151-2,1
1152,690000.0,698750.0,212000.0,218000.0,1152-1,1
