ID,XMIN,XMAX,YMIN,YMAX,nummer,kt_so
1032,690000.0,698750.0,284000.0,290000.0,1032-1,1
1032,690000.0,698750.0,278000.0,284000.0,1032-3,1
1115,751250.0,760000.0,236000.0,242000.0,1115-2,1
1115,751250.0,760000.0,230000.0,236000.0,1115-4,1
1116,760000.0,768750.0,230000.0,236000.0,1116-3,1
1135,751250.0,760000.0,224000.0,230000.0,1135-2,1
1135,751250.0,760000.0,218000.0,224000.0,1135-4,1
1136,760000.0,768750.0,224000.0,230000.0,1136-1,1
1136,760000.0,768750.0,218000.0,224000.0,1136-3,1
1155,751250.0,760000.0,212000.0,218000.0,1155-2,1
1156,760000.0,768750.0,212000.0,218000.0,1156-1,1
1353,716250.0,725000.0,92000.0,98000.0,1353-2,1
1353,716250.0,725000.0,86000.0,92000.0,1353-4,1
