ID,XMIN,XMAX,YMIN,YMAX,nummer,kt_so
1112,698750.0,707500.0,230000.0,236000.0,1112-4,1
1113,707500.0,716250.0,230000.0,236000.0,1113-3,1
1113,716250.0,725000.0,230000.0,236000.0,1113-4,1
1131,672500.0,681250.0,218000.0,224000.0,1131-3,1
1132,690000.0,698750.0,224000.0,230000.0,1132-1,1
1132,698750.0,707500.0,224000.0,230000.0,1132-2,1
1132,690000.0,698750.0,218000.0,224000.0,1132-3,1
1132,698750.0,707500.0,218000.0,224000.0,1132-4,1
1133,707500.0,716250.0,224000.0,230000.0,1133-1,1
1133,716250.0,725000.0,224000.0,230000.0,1133-2,1
1133,707500.0,716250.0,218000.0,224000.0,1133-3,1
1133,716250.0,725000.0,218000.0,224000.0,1133-4,1
1150,663750.0,672500.0,212000.0,218000.0,1150-2,1
1151,672500.0,681250.0,212000.0,218000.0,1151-1,1
1151,681250.0,690000.0,212000.0,218000.0,1151-2,1
1151,672500.0,681250.0,206000.0,212000.0,1151-3,1
1151,681250.0,690000.0,206000.0,212000.0,1151-4,1
1152,690000.0,698750.0,212000.0,218000.0,1152-1,1
1152,698750.0,707500.0,212000.0,218000.0,1152-2,1
1152,690000.0,698750.0,206000.0,212000.0,1152-3,1
1152,698750.0,707500.0,206000.0,212000.0,1152-4,1
1153,707500.0,716250.0,212000.0,218000.0,1153-1,1
1153,716250.0,725000.0,212000.0,218000.0,1153-2,1
1153,707500.0,716250.0,206000.0,212000.0,1153-3,1
1171,672500.0,681250.0,200000.0,206000.0,1171-1,1
1171,681250.0,690000.0,200000.0,206000.0,1171-2,1
1172,690000.0,698750.0,200000.0,206000.0,1172-1,1
1172,698750.0,707500.0,200000.0,206000.0,1172-2,1
1172,690000.0,698750.0,194000.0,200000.0,1172-3,1
1172,698750.0,707500.0,194000.0,200000.0,1172-4,1
1173,707500.0,716250.0,200000.0,206000.0,1173-1,1
1173,716250.0,725000.0,200000.0,206000.0,1173-2,1
1173,707500.0,716250.0,194000.0,200000.0,1173-3,1
1193,707500.0,716250.0,188000.0,194000.0,1193-1,1
