ID,XMIN,XMAX,YMIN,YMAX,nummer,kt_so
1032,690000.0,698750.0,278000.0,284000.0,1032-3,1
1032,698750.0,707500.0,278000.0,284000.0,1032-4,1
1033,707500.0,716250.0,278000.0,284000.0,1033-3,1
1033,716250.0,725000.0,278000.0,284000.0,1033-4,1
1034,725000.0,733750.0,278000.0,284000.0,1034-3,1
1034,733750.0,742500.0,278000.0,284000.0,1034-4,1
1052,690000.0,698750.0,272000.0,278000.0,1052-1,1
1052,698750.0,707500.0,272000.0,278000.0,1052-2,1
1052,698750.0,707500.0,266000.0,272000.0,1052-4,1
1053,707500.0,716250.0,272000.0,278000.0,1053-1,1
1053,716250.0,725000.0,272000.0,278000.0,1053-2,1
1053,707500.0,716250.0,266000.0,272000.0,1053-3,1
1053,716250.0,725000.0,266000.0,272000.0,1053-4,1
1054,725000.0,733750.0,272000.0,278000.0,1054-1,1
1054,733750.0,742500.0,272000.0,278000.0,1054-2,1
1054,725000.0,733750.0,266000.0,272000.0,1054-3,1
1054,733750.0,742500.0,266000.0,272000.0,1054-4,1
1055,742500.0,751250.0,272000.0,278000.0,1055-1,1
1055,751250.0,760000.0,272000.0,278000.0,1055-2,1
1055,742500.0,751250.0,266000.0,272000.0,1055-3,1
1055,751250.0,760000.0,266000.0,272000.0,1055-4,1
1072,698750.0,707500.0,260000.0,266000.0,1072-2,1
1073,707500.0,716250.0,260000.0,266000.0,1073-1,1
1073,716250.0,725000.0,260000.0,266000.0,1073-2,1
1073,707500.0,716250.0,254000.0,260000.0,1073-3,1
1073,716250.0,725000.0,254000.0,260000.0,1073-4,1
1074,725000.0,733750.0,260000.0,266000.0,1074-1,1
1074,733750.0,742500.0,260000.0,266000.0,1074-2,1
1074,733750.0,742500.0,254000.0,260000.0,1074-4,1
1075,742500.0,751250.0,260000.0,266000.0,1075-1,1
1075,751250.0,760000.0,260000.0,266000.0,1075-2,1
1093,707500.0,716250.0,248000.0,254000.0,1093-1,1
1093,716250.0,725000.0,248000.0,254000.0,1093-2,1
